Anio,Trimestre,Banda ancha fija,Dial up,Total_x,Periodo,ADSL,Cablemodem,Fibra optica,Wireless,Otros,Total_y,Ingresos (miles de pesos),Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2022,3,11078691,12437,11091128,Jul-Sept 2022,1395277,6031970,2871541,557110,235230,11091128,67055930,76.64,23.95,62.46
2022,2,10946248,12436,10958684,Abr-Jun 2022,1468333,5979214,2723285,556243,231609,10958684,60335724,75.97,23.72,58.44
2022,1,10611390,12619,10624009,Ene-Mar 2022,1533240,6073426,2219533,545814,251996,10624009,55589997,73.88,23.05,55.11
2021,4,10476933,12861,10489794,Oct-Dic 2021,1657615,5984240,2072236,523107,252596,10489794,45467887,73.18,22.81,52.34
2021,3,10075184,10357,10085541,Jul-Sept 2021,1950631,5826257,1566048,492415,250190,10085541,42999944,70.58,21.98,48.46
2021,2,9852702,10382,9863084,Abr-Jun 2021,2018587,5641731,1472246,476968,253552,9863084,38239667,69.24,21.55,45.63
2021,1,9637956,10016,9647972,Ene-Mar 2021,2175211,5424782,1362976,434548,250455,9647972,36676371,67.95,21.13,43.11
2020,4,9561546,10016,9571562,Oct-Dic 2020,2213949,5371824,1311199,421554,253036,9571562,33539703,67.62,21.01,42.36
2020,3,9346183,10016,9356199,Jul-Sept 2020,2263889,5259351,1170879,413259,248821,9356199,31997445,66.31,20.59,40.67
2020,2,9021040,10016,9031056,Abr-Jun 2020,2295533,5005115,1106725,376667,247016,9031056,32102476,64.21,19.92,38.32
2020,1,8802435,9991,8812426,Ene-Mar 2020,2299457,4903674,1047817,352333,209145,8812426,29946216,62.86,19.48,37.52
2019,4,8783053,10128,8793181,Oct-Dic 2019,2414575,4883869,941295,340144,213298,8793181,24169251,62.92,19.49,28.26
2019,3,9142891,21793,9164684,Jul-Sept 2019,2909805,4800091,852221,338241,264326,9164684,21652748,65.79,20.36,24.18
2019,2,8938427,21754,8960181,Abr-Jun 2019,2990457,4635575,760794,308027,265328,8960181,20743118,64.53,19.96,20.33
2019,1,8626323,21812,8648135,Ene-Mar 2019,3132789,4435439,637099,276419,166389,8648135,20207414,62.48,19.31,17.38
2018,4,8451841,21814,8473655,Oct-Dic 2018,3329027,4313831,388013,264299,178485,8473655,16637687,61.42,18.97,15.95
2018,3,8320223,26812,8347035,Jul-Sept 2018,3521447,4238171,247366,246181,93870,8347035,15410981,60.69,18.73,15.36
2018,2,8083533,26911,8110444,Abr-Jun 2018,3557216,4038141,226285,194267,94535,8110444,14319467,59.16,18.24,13.85
2018,1,8009981,27072,8037053,Ene-Mar 2018,3574294,3981129,217460,165300,98870,8037053,13171459,58.82,18.12,13.22
2017,4,7842778,27444,7870222,Oct-Dic 2017,3584311,3818157,211425,155775,100554,7870222,11226127,57.78,17.79,12.01
2017,3,7696594,28349,7724943,Jul-Sept 2017,3622575,3670221,193964,106443,131740,7724943,10065998,56.9,17.51,8.34
2017,2,7401134,28530,7429664,Abr-Jun 2017,3723518,3383434,180777,85813,56122,7429664,9678647,54.9,16.88,7.16
2017,1,7277314,28540,7305854,Ene-Mar 2017,3708898,3276251,180146,84813,55746,7305854,8701201,54.16,16.64,6.62
2016,4,7223128,28545,7251673,Oct-Dic 2016,3722794,3210602,178070,85119,55088,7251673,7483980,53.94,16.56,6.34
2016,3,7178340,28610,7206950,Jul-Sept 2016,3776442,3124855,169898,81455,54300,7206950,6912442,53.73,16.5,5.94
2016,2,7097604,32475,7130079,Abr-Jun 2016,3782085,3035272,167788,85452,59482,7130079,6534241,53.34,16.37,5.42
2016,1,6874704,32652,6907356,Ene-Mar 2016,3792493,2806359,164371,85370,58763,6907356,5936845,51.85,15.9,5.08
2015,4,6952289,32542,6984831,Oct-Dic 2015,3803024,2898226,139187,85726,58668,6984831,5376899,52.63,16.12,4.99
2015,3,6902267,32801,6935068,Jul-Sept 2015,3788696,2840203,162663,84530,58976,6935068,5153739,52.46,16.05,4.79
2015,2,6783279,32909,6816188,Abr-Jun 2015,3767821,2756294,150839,82077,59157,6816188,4701791,51.76,15.82,4.55
2015,1,6699714,38018,6737732,Ene-Mar 2015,3756153,2668248,168188,79098,66045,6737732,4876385,51.36,15.68,4.35
2014,4,6559172,39324,6598496,Oct-Dic 2014,3764038,2536219,149682,76984,71573,6598496,3950441,50.5,15.39,4.16
2014,3,6559264,36007,6595271,Jul-Sept 2014,3714764,2569868,155494,85096,70049,6595271,3478638,50.67,15.43,3.87
2014,2,6428329,36139,6464468,Abr-Jun 2014,3708882,2461670,149363,72405,72148,6464468,3270816,49.86,15.16,3.76
2014,1,6362108,36290,6398398,Ene-Mar 2014,3697066,2407330,150323,70749,72930,6398398,2984054,49.55,15.05,3.62
